что такое искусственный интеллект|имитация человеческого разума
ИИ|система машинного обучения
нейросеть|часть ИИ
машинное обучение|подвид ИИ
глубокое обучение|метод ИИ
алгоритм|основа работы ИИ
обучение без учителя|вид обучения ИИ
обучение с учителем|вид обучения ИИ
нейрон|элемент сети
слой|структурный элемент сети
вектор|представление данных
тензор|мультимерная структура
обратное распространение|метод оптимизации
градиентный спуск|алгоритм обучения
функция потерь|мера ошибки
точность|характеристика модели
precision|показатель точности
recall|показатель полноты
F1-score|гармоническое среднее
классификация|задача разметки
регрессия|задача предсказания числа
кластеризация|неконтролируемая задача
NLP|обработка естественного языка
компьютерное зрение|анализ изображений
распознавание речи|преобразование аудио в текст
генерация текста|создание ответов ИИ
чат-бот|программа диалога
трансформер|архитектура моделей
BERT|модель понимания языка
GPT|серия генеративных моделей
LLM|большие языковые модели
дообучение|fine-tuning модели
инференс|вывод результатов
область применения|сфера использования ИИ
автопилот|применение в транспорте
медицина|область применения ИИ
финтех|банковские системы с ИИ
кибербезопасность|защита от атак на ИИ
этика ИИ|моральные нормы разработки
смещение данных|bias в алгоритмах
черный ящик|непрозрачность решений
интерпретируемость|понятность решений
объяснимый ИИ|XAI методы
нейроархитектура|структура сети
backpropagation|обратное распространение ошибки
ReLU|функция активации
softmax|функция вероятностей
embedding|векторное представление слова
token|символьная единица текста
контекстное окно|горизонт внимания
аттенция|механизм внимания
prompt|запрос к модели
галлюцинация|ошибка генерации ИИ
реляционное обучение|отношения между объектами
реинфорсмент|обучение с подкреплением
Q-learning|метод обучения с подкр.
Reward function|функция награды
policy|стратегия действий
state|состояние среды
action|действие агента
exploration|исследование пространства
exploitation|использование известных данных
reward hacking|обход функции награды
multi-agent|система нескольких агентов
game theory|теория игр в ИИ
reinforcement|укрепление связей
supervised learning|надзорное обучение
unsupervised learning|безназорное обучение
self-supervised|самообучение модели
few-shot learning|обучение на малых данных
zero-shot|работа без примеров
transfer learning|перенос знаний
domain adaptation|адаптация доменов
data augmentation|увеличение датасета
overfitting|переобучение модели
underfitting|недообучение модели
cross-validation|кросс-валидация
hyperparameter tuning|настройка гиперпараметров
dropout|метод регуляризации
batch normalization|нормализация пакетов
gradient clipping|ограничение градиента
early stopping|остановка по метрике
confusion matrix|матрица ошибок
ROC curve|кривая ROC
AUC|площадь под кривой
precision-recall|точность-полнота
threshold|порог срабатывания
feature engineering|инжиниринг признаков
dimensionality reduction|сведение размерности
PCA|метод главных компонент
SVD|разложение по сингулярным числам
kernel method|ядерные методы
support vector machine|машина опорных векторов
decision tree|дерево решений
random forest|случайный лес
gradient boosting|градиентный бустинг
XGBoost|библиотека буста
lightgbm|оптимизированный градиентный бустинг
catboost|бустинг с учетом категорий
KNN|метод ближайших соседей
Naive Bayes|наивный байесовский классификатор
linear regression|линейная регрессия
logistic regression|логистическая регрессия
svm|классификация опорными векторами
ensemble method|ансамблевый метод
stacking|стекинг моделей
blending|слияние предсказаний
voting classifier|голосование классификаторов
meta-learner|мета-обучение модели
bagging|бутстрэп агрегирование
pca|принцип главных компонент
svd|сингулярное разложение
lsi|скрытое семантическое индексирование
tf-idf|вес терминов по частоте
word2vec|векторизация слов
gloVe|совместное обучение векторов
fastText|модель с подсловами
elmo|контекстное кодирование
bidirectional lstm|двунаправленная LSTM
gru|сетка рекуррентных единиц
transformer|архитектура внимания
self-attention|внимание к самому себе
cross-attention|перекрестное внимание
multi-head attention|многоголовое внимание
positional encoding|позиционное кодирование
masking|маскирование в декодере
beam search|поиск лучшими путями
top-k sampling|выбор топ-k токенов
temperature|параметр случайности вывода
greedy decoding|жадный декодинг
n-gram|n-грамма моделирования
perplexity|степень неопределенности
convergence|сходимость обучения
epoch|эпоха обучения
iteration|итерация шага
batch size|размер пакета данных
learning rate|скорость обучения
optimizer|оптимизатор градиента
adam|алгоритм адаптивного момента
rmsprop|метод скользящего среднего
sgd|стохастический градиентный спуск
momentum|импульс в оптимизации
adaptive learning rate|адаптивная скорость
generalization ability|способность к обобщению
bias-variance tradeoff|компромисс смещения и дисперсии
regularization|регуляризация штрафа
L1 regularization|лассо регуляризация
L2 regularization|ридж регуляризация
elastic net|гибридная регуляризация
sparsity|разреженность весов
pruning|обрезка неважных связей
quantization|квантование весов
distillation|дистилляция знаний моделью
knowledge transfer|перенос познаний
explainable AI|объяснимый искусственный интеллект
fairness|справедливость алгоритмов
robustness|устойчивость к шуму
adversarial attack|взлом через состязание
neural architecture search|поиск архитектуры
automl|автоматизация машинного обучения
mlops|инженерия машинного обучения
data pipeline|поток данных
feature store|хранилище признаков
model registry|реестр моделей
experiment tracking|отслеживание экспериментов
hyperparameter optimization|оптимизация гиперпараметров
bayesian optimization|байесовская оптимизация
grid search|сеточный поиск
random search|случайный поиск
population based training|поиск популяций
evolutionary algorithm|эволюционный алгоритм
genetic algorithm|генетический алгоритм
simulated annealing|имитация отжига
particle swarm|оптимизация роем частиц
reinforcement learning|обучение с подкреплением
